Text,Label
Tere bina har khushi adhoori si lagti hai. Hamesha.,Romantic
Teri aankhon mein mera kal basa hai.,Romantic
Teri aankhon mein mera kal basa hai. Dil se.,Romantic
Tum meri saanson ki aadat ban gaye ho. Khud se wada hai.,Romantic
Tere bina har khushi adhoori si lagti hai. Hamesha.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai.,Romantic
Tum saath ho to har darr chhota lagta hai. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri aankhon mein mera kal basa hai. Khud se wada hai.,Romantic
Tum saath ho to har darr chhota lagta hai. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Tera naam likhu to lafz mehek jaate hain. Aaj bhi.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Dil se.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Khud se wada hai.,Romantic
Tum meri saanson ki aadat ban gaye ho. Hamesha.,Romantic
Tere bina har khushi adhoori si lagti hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Khud se wada hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Har pal.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Khud se wada hai.,Romantic
Tere bina har khushi adhoori si lagti hai. Dil se.,Romantic
Tum meri saanson ki aadat ban gaye ho. Hamesha.,Romantic
Tere bina har khushi adhoori si lagti hai. Khud se wada hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Khud se wada hai.,Romantic
Tera naam likhu to lafz mehek jaate hain. Har pal.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Khud se wada hai.,Romantic
Tum meri saanson ki aadat ban gaye ho. Khud se wada hai.,Romantic
Tum saath ho to har darr chhota lagta hai. Khud se wada hai.,Romantic
Tum saath ho to har darr chhota lagta hai. Khud se wada hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Dil se.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Tum saath ho to har darr chhota lagta hai. Aaj bhi.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Hamesha.,Romantic
Tere bina har khushi adhoori si lagti hai. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Khud se wada hai.,Romantic
Tum meri saanson ki aadat ban gaye ho.,Romantic
Tum saath ho to har darr chhota lagta hai. Aaj bhi.,Romantic
Teri aankhon mein mera kal basa hai. Khud se wada hai.,Romantic
Tum meri saanson ki aadat ban gaye ho. Khud se wada hai.,Romantic
Tere bina har khushi adhoori si lagti hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Khud se wada hai.,Romantic
Tere bina har khushi adhoori si lagti hai. Aaj bhi.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai. Hamesha.,Romantic
Tum saath ho to har darr chhota lagta hai. Aaj bhi.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Hamesha.,Romantic
Tere bina har khushi adhoori si lagti hai. Dil se.,Romantic
Tera naam likhu to lafz mehek jaate hain. Hamesha.,Romantic
Tum saath ho to har darr chhota lagta hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Har pal.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Dil se.,Romantic
Tum saath ho to har darr chhota lagta hai. Har pal.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Hamesha.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Hamesha.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Khud se wada hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Hamesha.,Romantic
Teri aankhon mein mera kal basa hai. Khud se wada hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Tera naam likhu to lafz mehek jaate hain. Har pal.,Romantic
Teri aankhon mein mera kal basa hai. Hamesha.,Romantic
Teri aankhon mein mera kal basa hai.,Romantic
Tera naam likhu to lafz mehek jaate hain.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Aaj bhi.,Romantic
Tere bina har khushi adhoori si lagti hai. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Khud se wada hai.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Tum meri saanson ki aadat ban gaye ho.,Romantic
Tere bina har khushi adhoori si lagti hai. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai. Aaj bhi.,Romantic
Teri aankhon mein mera kal basa hai. Aaj bhi.,Romantic
Tum saath ho to har darr chhota lagta hai. Hamesha.,Romantic
Tere bina har khushi adhoori si lagti hai. Khud se wada hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Har pal.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Aaj bhi.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Teri aankhon mein mera kal basa hai. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Har pal.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Khud se wada hai.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Khud se wada hai.,Romantic
Tere bina har khushi adhoori si lagti hai. Dil se.,Romantic
Tere bina har khushi adhoori si lagti hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Tere bina har khushi adhoori si lagti hai. Khud se wada hai.,Romantic
Tum saath ho to har darr chhota lagta hai. Khud se wada hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Har pal.,Romantic
Tum saath ho to har darr chhota lagta hai. Hamesha.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Tum saath ho to har darr chhota lagta hai. Dil se.,Romantic
Tum meri saanson ki aadat ban gaye ho. Har pal.,Romantic
Tera naam likhu to lafz mehek jaate hain. Aaj bhi.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Khud se wada hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Hamesha.,Romantic
Tum meri saanson ki aadat ban gaye ho. Khud se wada hai.,Romantic
Tera naam likhu to lafz mehek jaate hain. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Khud se wada hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Hamesha.,Romantic
Tera naam likhu to lafz mehek jaate hain. Hamesha.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Tum saath ho to har darr chhota lagta hai. Aaj bhi.,Romantic
Tere bina har khushi adhoori si lagti hai. Hamesha.,Romantic
Tera naam likhu to lafz mehek jaate hain.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Teri aankhon mein mera kal basa hai. Dil se.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Teri aankhon mein mera kal basa hai. Khud se wada hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Teri aankhon mein mera kal basa hai. Khud se wada hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Tum saath ho to har darr chhota lagta hai.,Romantic
Tera naam likhu to lafz mehek jaate hain. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Hamesha.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Khud se wada hai.,Romantic
Tum meri saanson ki aadat ban gaye ho. Har pal.,Romantic
Tum saath ho to har darr chhota lagta hai. Aaj bhi.,Romantic
Teri aankhon mein mera kal basa hai. Dil se.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Tere bina har khushi adhoori si lagti hai.,Romantic
Teri aankhon mein mera kal basa hai. Aaj bhi.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Tum saath ho to har darr chhota lagta hai. Har pal.,Romantic
Teri baaton mein ghar jaisa sukoon hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Dil se.,Romantic
Tum saath ho to har darr chhota lagta hai. Dil se.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Tum saath ho to har darr chhota lagta hai. Har pal.,Romantic
Teri aankhon mein mera kal basa hai.,Romantic
Tum saath ho to har darr chhota lagta hai.,Romantic
Tum meri saanson ki aadat ban gaye ho.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Khud se wada hai.,Romantic
Tere bina har khushi adhoori si lagti hai. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Aaj bhi.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Tere bina har khushi adhoori si lagti hai. Dil se.,Romantic
Teri aankhon mein mera kal basa hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Aaj bhi.,Romantic
"Dil ko samjhaya bahut, par maana hi nahi. Har pal.",Melancholic
Kuch rishton ka tootna awaaz nahi karta. Khud se wada hai.,Melancholic
Tumhare bina ghar khaali lagta hai. Aaj bhi.,Melancholic
Tumhare bina ghar khaali lagta hai. Aaj bhi.,Melancholic
Kuch rishton ka tootna awaaz nahi karta.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Dil se.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Khud se wada hai.",Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Khud se wada hai.,Melancholic
Tumhare bina ghar khaali lagta hai. Hamesha.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Aaj bhi.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Hamesha.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Aaj bhi.",Melancholic
Kuch rishton ka tootna awaaz nahi karta.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Hamesha.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Hamesha.",Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Dil se.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Hamesha.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Har pal.",Melancholic
Kuch rishton ka tootna awaaz nahi karta. Khud se wada hai.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Har pal.",Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Har pal.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Har pal.,Melancholic
Tumhare bina ghar khaali lagta hai. Aaj bhi.,Melancholic
Jo apne the wahi ajnabi ban gaye. Dil se.,Melancholic
Teri yaadon ka bojh halka nahi hota. Aaj bhi.,Melancholic
Teri yaadon ka bojh halka nahi hota. Hamesha.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Dil se.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Khud se wada hai.",Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Dil se.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Jo apne the wahi ajnabi ban gaye. Aaj bhi.,Melancholic
Jo apne the wahi ajnabi ban gaye. Khud se wada hai.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Dil se.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Dil se.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Dil se.,Melancholic
Teri yaadon ka bojh halka nahi hota. Aaj bhi.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Khud se wada hai.,Melancholic
Jo apne the wahi ajnabi ban gaye. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Khud se wada hai.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Har pal.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Hamesha.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Dil se.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Har pal.,Melancholic
Jo apne the wahi ajnabi ban gaye. Aaj bhi.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Dil se.,Melancholic
Tumhare bina ghar khaali lagta hai. Dil se.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Har pal.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Aaj bhi.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Dil se.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Aaj bhi.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Dil se.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Dil se.",Melancholic
Kuch rishton ka tootna awaaz nahi karta. Khud se wada hai.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Hamesha.",Melancholic
Tumhare bina ghar khaali lagta hai. Hamesha.,Melancholic
Jo apne the wahi ajnabi ban gaye. Har pal.,Melancholic
Jo apne the wahi ajnabi ban gaye. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye. Aaj bhi.,Melancholic
Jo apne the wahi ajnabi ban gaye. Dil se.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Aaj bhi.",Melancholic
Jo apne the wahi ajnabi ban gaye. Khud se wada hai.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Aaj bhi.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Aaj bhi.,Melancholic
Teri yaadon ka bojh halka nahi hota. Hamesha.,Melancholic
Kuch rishton ka tootna awaaz nahi karta.,Melancholic
Teri yaadon ka bojh halka nahi hota.,Melancholic
Jo apne the wahi ajnabi ban gaye. Khud se wada hai.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Khud se wada hai.,Melancholic
Jo apne the wahi ajnabi ban gaye.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Dil se.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Har pal.,Melancholic
Kuch rishton ka tootna awaaz nahi karta.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Khud se wada hai.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Khud se wada hai.,Melancholic
Jo apne the wahi ajnabi ban gaye.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Har pal.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Hamesha.,Melancholic
Teri yaadon ka bojh halka nahi hota. Har pal.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Hamesha.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Har pal.,Melancholic
Jo apne the wahi ajnabi ban gaye. Aaj bhi.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Aaj bhi.,Melancholic
Jo apne the wahi ajnabi ban gaye. Aaj bhi.,Melancholic
Tumhare bina ghar khaali lagta hai. Har pal.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye. Har pal.,Melancholic
Tumhare bina ghar khaali lagta hai. Dil se.,Melancholic
Tumhare bina ghar khaali lagta hai. Hamesha.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Har pal.",Melancholic
Kuch rishton ka tootna awaaz nahi karta. Har pal.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Aaj bhi.,Melancholic
Jo apne the wahi ajnabi ban gaye.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Aaj bhi.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Khud se wada hai.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Dil se.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Aaj bhi.",Melancholic
Yaadein kabhi poori tarah saath nahi chhodti.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti.,Melancholic
Tumhare bina ghar khaali lagta hai.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye. Hamesha.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Dil se.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Hamesha.,Melancholic
Jo apne the wahi ajnabi ban gaye. Hamesha.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Hamesha.",Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Khud se wada hai.,Melancholic
Teri yaadon ka bojh halka nahi hota.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Hamesha.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Khud se wada hai.,Melancholic
Tumhare bina ghar khaali lagta hai.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Har pal.",Melancholic
Kuch rishton ka tootna awaaz nahi karta.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Dil se.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Hamesha.,Melancholic
Teri yaadon ka bojh halka nahi hota. Hamesha.,Melancholic
Tumhare bina ghar khaali lagta hai.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Khud se wada hai.",Melancholic
Tumhare bina ghar khaali lagta hai. Dil se.,Melancholic
Tumhare bina ghar khaali lagta hai.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Dil se.",Melancholic
Yaadein kabhi poori tarah saath nahi chhodti. Dil se.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi.",Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye. Har pal.,Melancholic
Tumhare bina ghar khaali lagta hai. Har pal.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Aaj bhi.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Tumhare bina ghar khaali lagta hai. Har pal.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Har pal.,Melancholic
Teri yaadon ka bojh halka nahi hota. Aaj bhi.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Hamesha.,Melancholic
Jo apne the wahi ajnabi ban gaye. Hamesha.,Melancholic
"Dil ko samjhaya bahut, par maana hi nahi. Aaj bhi.",Melancholic
Raat bhar neend se zyada teri yaad jagti hai.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Hamesha.,Melancholic
Jo apne the wahi ajnabi ban gaye. Dil se.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Kuch rishton ka tootna awaaz nahi karta. Har pal.,Melancholic
Tumhare bina ghar khaali lagta hai. Hamesha.,Melancholic
Jo apne the wahi ajnabi ban gaye. Hamesha.,Melancholic
Yaadein kabhi poori tarah saath nahi chhodti.,Melancholic
Jo apne the wahi ajnabi ban gaye. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye. Har pal.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai. Khud se wada hai.,Melancholic
Bheed mein bhi ek ajeeb sa akelapan hai.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Hamesha.,Melancholic
Jo apne the wahi ajnabi ban gaye. Khud se wada hai.,Melancholic
Jo apne the wahi ajnabi ban gaye. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye. Hamesha.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Teri yaadon ka bojh halka nahi hota. Khud se wada hai.,Melancholic
Raat bhar neend se zyada teri yaad jagti hai. Hamesha.,Melancholic
Teri yaadon ka bojh halka nahi hota. Dil se.,Melancholic
Jo apne the wahi ajnabi ban gaye.,Melancholic
Jo apne the wahi ajnabi ban gaye. Hamesha.,Melancholic
